#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
binnie.wine.cranberry                             (extratrees:binnie.wine.cranberry)                                               = Cranberry Wine
binnie.wine.pineapple                             (extratrees:binnie.wine.pineapple)                                               = Pineapple Wine
binnie.wine.tomato                                (extratrees:binnie.wine.tomato)                                                  = Tomato Wine
binnie.juice                                      (extratrees:binnie.juice)                                                        = Fruit Wine
binnie.beer.ale                                   (extratrees:binnie.beer.ale)                                                     = Ale
binnie.beer.lager                                 (extratrees:binnie.beer.lager)                                                   = Lager
binnie.beer.wheat                                 (extratrees:binnie.beer.wheat)                                                   = Wheat Beer
binnie.beer.rye                                   (extratrees:binnie.beer.rye)                                                     = Rye Beer
binnie.beer.corn                                  (extratrees:binnie.beer.corn)                                                    = Corn Beer
binnie.beer.stout                                 (extratrees:binnie.beer.stout)                                                   = Stout
binnie.mash.grain                                 (extratrees:binnie.mash.grain)                                                   = Fermented Grain Mash
binnie.mash.wheat                                 (extratrees:binnie.mash.wheat)                                                   = Fermented Wheat Mash
binnie.mash.rye                                   (extratrees:binnie.mash.rye)                                                     = Fermented Rye Mash
binnie.mash.corn                                  (extratrees:binnie.mash.corn)                                                    = Fermented Corn Mash
binnie.spirit.neutral                             (extratrees:binnie.spirit.neutral)                                               = Neutral Spirit
binnie.vodka                                      (extratrees:binnie.vodka)                                                        = Vodka
binnie.rum.white                                  (extratrees:binnie.rum.white)                                                    = White Rum
binnie.rum.dark                                   (extratrees:binnie.rum.dark)                                                     = Dark Rum
binnie.whiskey                                    (extratrees:binnie.whiskey)                                                      = Whiskey
binnie.whiskey.corn                               (extratrees:binnie.whiskey.corn)                                                 = Bourbon
binnie.whiskey.rye                                (extratrees:binnie.whiskey.rye)                                                  = Rye Whiskey
binnie.whiskey.wheat                              (extratrees:binnie.whiskey.wheat)                                                = Wheat Whiskey
binnie.wine.fortified                             (extratrees:binnie.wine.fortified)                                               = Fortified Wine
binnie.tequila                                    (extratrees:binnie.tequila)                                                      = Tequila
binnie.brandy.grape                               (extratrees:binnie.brandy.grape)                                                 = Brandy
binnie.brandy.apple                               (extratrees:binnie.brandy.apple)                                                 = Apple Brandy
binnie.brandy.pear                                (extratrees:binnie.brandy.pear)                                                  = Pear Brandy
binnie.brandy.apricot                             (extratrees:binnie.brandy.apricot)                                               = Apricot Brandy
binnie.brandy.plum                                (extratrees:binnie.brandy.plum)                                                  = Plum Brandy
binnie.brandy.cherry                              (extratrees:binnie.brandy.cherry)                                                = Cherry Brandy
binnie.brandy.elderberry                          (extratrees:binnie.brandy.elderberry)                                            = Elderberry Brandy
binnie.brandy.citrus                              (extratrees:binnie.brandy.citrus)                                                = Citrus Brandy
binnie.brandy.fruit                               (extratrees:binnie.brandy.fruit)                                                 = Fruit Brandy
binnie.spirit.sugarcane                           (extratrees:binnie.spirit.sugarcane)                                             = Cachaca
binnie.spirit.gin                                 (extratrees:binnie.spirit.gin)                                                   = Gin
binnie.liquor.apple                               (extratrees:binnie.liquor.apple)                                                 = Apple Liquor
binnie.liquor.pear                                (extratrees:binnie.liquor.pear)                                                  = Pear Liquor
binnie.liquor.cherry                              (extratrees:binnie.liquor.cherry)                                                = Cherry Liquor
binnie.liquor.elderberry                          (extratrees:binnie.liquor.elderberry)                                            = Elderberry Liquor
binnie.liquor.apricot                             (extratrees:binnie.liquor.apricot)                                               = Apricot Liquor
binnie.liquor.fruit                               (extratrees:binnie.liquor.fruit)                                                 = Fruit Liquor
binnie.liqueur.almond                             (extratrees:binnie.liqueur.almond)                                               = Almond Liqueur
binnie.liqueur.orange                             (extratrees:binnie.liqueur.orange)                                               = Orange Liqueur
binnie.liqueur.banana                             (extratrees:binnie.liqueur.banana)                                               = Banana Liqueur
binnie.liqueur.chocolate                          (extratrees:binnie.liqueur.chocolate)                                            = Chocolate Liqueur
binnie.liqueur.mint                               (extratrees:binnie.liqueur.mint)                                                 = Mint Liqueur
binnie.liqueur.hazelnut                           (extratrees:binnie.liqueur.hazelnut)                                             = Hazelnut Liqueur
binnie.liqueur.cinnamon                           (extratrees:binnie.liqueur.cinnamon)                                             = Cinnamon Liqueur
binnie.liqueur.coffee                             (extratrees:binnie.liqueur.coffee)                                               = Coffee Liqueur
binnie.liqueur.melon                              (extratrees:binnie.liqueur.melon)                                                = Melon Liqueur
binnie.liqueur.anise                              (extratrees:binnie.liqueur.anise)                                                = Anise Liqueur
binnie.liqueur.peach                              (extratrees:binnie.liqueur.peach)                                                = Peach Liqueur
binnie.liqueur.lemon                              (extratrees:binnie.liqueur.lemon)                                                = Lemon Liqueur
binnie.liqueur.herbal                             (extratrees:binnie.liqueur.herbal)                                               = Herbal Liqueur
binnie.liqueur.cherry                             (extratrees:binnie.liqueur.cherry)                                               = Cherry Liqueur
binnie.liqueur.blackcurrant                       (extratrees:binnie.liqueur.blackcurrant)                                         = Blackcurrant Liqueur
binnie.liqueur.blackberry                         (extratrees:binnie.liqueur.blackberry)                                           = Blackberry Liqueur
binnie.liqueur.raspberry                          (extratrees:binnie.liqueur.raspberry)                                            = Raspberry Liqueur
poison                                            (cyclicmagic:poison)                                                             = Poison
amber                                             (cyclicmagic:amber)                                                              = Amber
crystal                                           (cyclicmagic:crystal)                                                            = Crystallized Obsidian
xpjuice                                           (cyclicmagic:xpjuice)                                                            = Liquid XP
blue_essence.0                                    (contenttweaker:blue_essence.0)                                                  = Essence of Slightly Blue
blue_essence.1                                    (contenttweaker:blue_essence.1)                                                  = Essence of Mildly Blue
blue_essence.2                                    (contenttweaker:blue_essence.2)                                                  = Essence of Blue
blue_essence.3                                    (contenttweaker:blue_essence.3)                                                  = Essence of Very Blue
blue_essence.4                                    (contenttweaker:blue_essence.4)                                                  = Essence of Royal Blue
blue_essence.5                                    (contenttweaker:blue_essence.5)                                                  = Essence of True Blue
red_essence.0                                     (contenttweaker:red_essence.0)                                                   = Essence of Slightly Red
red_essence.1                                     (contenttweaker:red_essence.1)                                                   = Essence of Midly Red
red_essence.2                                     (contenttweaker:red_essence.2)                                                   = Essence of Red
red_essence.3                                     (contenttweaker:red_essence.3)                                                   = Essence of Very Red
red_essence.4                                     (contenttweaker:red_essence.4)                                                   = Essence of Bloody Red
red_essence.5                                     (contenttweaker:red_essence.5)                                                   = Essence of True Red
white_essence.0                                   (contenttweaker:white_essence.0)                                                 = Light Blue Essence
white_essence.1                                   (contenttweaker:white_essence.1)                                                 = Essence of Lightened Blue
white_essence.2                                   (contenttweaker:white_essence.2)                                                 = Essence of Hope
white_essence.3                                   (contenttweaker:white_essence.3)                                                 = Hopefully Essence
white_essence.4                                   (contenttweaker:white_essence.4)                                                 = Essence of True Light
white_essence.5                                   (contenttweaker:white_essence.5)                                                 = Essence of Angelic Light
liquid_slime                                      (contenttweaker:liquid_slime)                                                    = Liquid Slime
podzol_mud                                        (contenttweaker:podzol_mud)                                                      = Podzol Liquid Mud
supremium_essence                                 (contenttweaker:supremium_essence)                                               = Supremacy Essence
liquid_dragon_breath                              (contenttweaker:liquid_dragon_breath)                                            = Liquid Dragon's Breath
liquid_purple_dye                                 (contenttweaker:liquid_purple_dye)                                               = Liquified Purple Dye
molten_smokeyquartz                               (contenttweaker:molten_smokeyquartz)                                             = Molten Smoked Quartz
special_mixture                                   (contenttweaker:special_mixture)                                                 = Special Mixture
pyroligneous_acid                                 (contenttweaker:pyroligneous_acid)                                               = Pyroligneous Acid
polymer_compound                                  (contenttweaker:polymer_compound)                                                = Polymer Compound
xu_evil_metal                                     ([no block])                                                                     = Evil Infused Iron
xu_enchanted_metal                                ([no block])                                                                     = Enchanted Metal
xu_demonic_metal                                  ([no block])                                                                     = Molten Demon Metal
mutagen                                           (gendustry:mutagen)                                                              = Mutagen
liquiddna                                         (gendustry:liquiddna)                                                            = Liquid DNA
protein                                           (gendustry:protein)                                                              = Protein
plantoil                                          (immersiveengineering:fluidplantoil)                                             = Plant Oil
ethanol                                           (immersiveengineering:fluidethanol)                                              = Ethanol
biodiesel                                         (immersiveengineering:fluidbiodiesel)                                            = Biodiesel
concrete                                          (immersiveengineering:fluidconcrete)                                             = Liquid Concrete
uranium                                           (immersiveengineering:molten_uranium)                                            = Molten Uranium
oil                                               (immersivepetroleum:fluid_crude_oil)                                             = Oil
diesel                                            (immersivepetroleum:fluid_diesel)                                                = Diesel
lubricant                                         (immersivepetroleum:fluid_lubricant)                                             = Lubricant
gasoline                                          (immersivepetroleum:fluid_gasoline)                                              = Gasoline
napalm                                            (immersivepetroleum:fluid_napalm)                                                = Napalm
dist_water                                        (immersivetech:fluiddistwater)                                                   = Distilled Water
essence                                           (industrialforegoing:essence)                                                    = Essence
meat                                              (industrialforegoing:meat)                                                       = Liquid Meat
latex                                             (industrialforegoing:latex)                                                      = Latex
sewage                                            (industrialforegoing:sewage)                                                     = Sewage
sludge                                            (industrialforegoing:sludge)                                                     = Sludge
biofuel                                           (industrialforegoing:biofuel)                                                    = Biofuel
if.pink_slime                                     (industrialforegoing:if.pink_slime)                                              = Pink Slime
if.protein                                        (industrialforegoing:if.protein)                                                 = Protein
if.ore_fluid_raw                                  ([no block])                                                                     = Raw Ore Meat
if.ore_fluid_fermented                            ([no block])                                                                     = Fermented Ore Meat
menrilresin                                       (integrateddynamics:block_menril_resin)                                          = Menril Resin
liquidchorus                                      (integrateddynamics:block_liquid_chorus)                                         = Liquid Chorus
oxygen                                            (nuclearcraft:fluid_oxygen)                                                      = Oxygen
hydrogen                                          (nuclearcraft:fluid_hydrogen)                                                    = Hydrogen
deuterium                                         (nuclearcraft:fluid_deuterium)                                                   = Deuterium
tritium                                           (nuclearcraft:fluid_tritium)                                                     = Tritium
helium3                                           (nuclearcraft:fluid_helium3)                                                     = Helium-3
helium                                            (nuclearcraft:fluid_helium)                                                      = Helium
boron                                             (nuclearcraft:fluid_boron)                                                       = Molten Boron
boron10                                           (nuclearcraft:fluid_boron10)                                                     = Molten Boron-10
boron11                                           (nuclearcraft:fluid_boron11)                                                     = Molten Boron-11
lithium                                           (nuclearcraft:fluid_lithium)                                                     = Molten Lithium
lithium6                                          (nuclearcraft:fluid_lithium6)                                                    = Molten Lithium-6
lithium7                                          (nuclearcraft:fluid_lithium7)                                                    = Molten Lithium-7
ferroboron                                        (nuclearcraft:fluid_ferroboron)                                                  = Molten Ferroboron
tough                                             (nuclearcraft:fluid_tough)                                                       = Molten Tough Alloy
hard_carbon                                       (nuclearcraft:fluid_hard_carbon)                                                 = Molten Hard Carbon
beryllium                                         (nuclearcraft:fluid_beryllium)                                                   = Molten Beryllium
manganese                                         (nuclearcraft:fluid_manganese)                                                   = Molten Manganese
manganese_dioxide                                 (nuclearcraft:fluid_manganese_dioxide)                                           = Molten Manganese Dioxide
sulfur                                            (nuclearcraft:fluid_sulfur)                                                      = Molten Sulfur
arsenic                                           (nuclearcraft:fluid_arsenic)                                                     = Molten Arsenic
liquidhelium                                      (nuclearcraft:fluid_liquidhelium)                                                = Liquid Helium
liquid_nitrogen                                   (nuclearcraft:fluid_liquid_nitrogen)                                             = Liquid Nitrogen
plasma                                            (nuclearcraft:fluid_plasma)                                                      = Plasma
neutron                                           (nuclearcraft:fluid_neutron)                                                     = Neutron Fluid
methanol                                          (nuclearcraft:fluid_methanol)                                                    = Methanol
radaway                                           (nuclearcraft:fluid_radaway)                                                     = RadAway Fluid
radaway_slow                                      (nuclearcraft:fluid_radaway_slow)                                                = Slow-Acting RadAway Fluid
nitrogen                                          (nuclearcraft:fluid_nitrogen)                                                    = Nitrogen
fluorine                                          (nuclearcraft:fluid_fluorine)                                                    = Fluorine
carbon_dioxide                                    (nuclearcraft:fluid_carbon_dioxide)                                              = Carbon Dioxide
carbon_monoxide                                   (nuclearcraft:fluid_carbon_monoxide)                                             = Carbon Monoxide
ethene                                            (nuclearcraft:fluid_ethene)                                                      = Ethylene
fluoromethane                                     (nuclearcraft:fluid_fluoromethane)                                               = Fluoromethane
ammonia                                           (nuclearcraft:fluid_ammonia)                                                     = Ammonia
oxygen_difluoride                                 (nuclearcraft:fluid_oxygen_difluoride)                                           = Oxygen Difluoride
diborane                                          (nuclearcraft:fluid_diborane)                                                    = Diborane
sulfur_dioxide                                    (nuclearcraft:fluid_sulfur_dioxide)                                              = Sulfur Dioxide
sulfur_trioxide                                   (nuclearcraft:fluid_sulfur_trioxide)                                             = Sulfur Trioxide
hydrofluoric_acid                                 (nuclearcraft:fluid_hydrofluoric_acid)                                           = Hydrofluoric Acid
boric_acid                                        (nuclearcraft:fluid_boric_acid)                                                  = Boric Acid
sulfuric_acid                                     (nuclearcraft:fluid_sulfuric_acid)                                               = Sulfuric Acid
boron_nitride_solution                            (nuclearcraft:fluid_boron_nitride_solution)                                      = Boron Nitride Solution
fluorite_water                                    (nuclearcraft:fluid_fluorite_water)                                              = Fluorite Water
calcium_sulfate_solution                          (nuclearcraft:fluid_calcium_sulfate_solution)                                    = Calcium Sulfate Solution
sodium_fluoride_solution                          (nuclearcraft:fluid_sodium_fluoride_solution)                                    = Sodium Fluoride Solution
potassium_fluoride_solution                       (nuclearcraft:fluid_potassium_fluoride_solution)                                 = Potassium Fluoride Solution
sodium_hydroxide_solution                         (nuclearcraft:fluid_sodium_hydroxide_solution)                                   = Sodium Hydroxide Solution
potassium_hydroxide_solution                      (nuclearcraft:fluid_potassium_hydroxide_solution)                                = Potassium Hydroxide Solution
borax_solution                                    (nuclearcraft:fluid_borax_solution)                                              = Borax Solution
corium                                            (nuclearcraft:fluid_corium)                                                      = Corium
chocolate_liquor                                  (nuclearcraft:fluid_chocolate_liquor)                                            = Chocolate Liquor
cocoa_butter                                      (nuclearcraft:fluid_cocoa_butter)                                                = Cocoa Butter
unsweetened_chocolate                             (nuclearcraft:fluid_unsweetened_chocolate)                                       = Molten Unsweetened Chocolate
dark_chocolate                                    (nuclearcraft:fluid_dark_chocolate)                                              = Molten Dark Chocolate
milk_chocolate                                    (nuclearcraft:fluid_milk_chocolate)                                              = Molten Milk Chocolate
sugar                                             (nuclearcraft:fluid_sugar)                                                       = Molten Sugar
gelatin                                           (nuclearcraft:fluid_gelatin)                                                     = Molten Gelatin
